"11-8-2015","","USDA Plant Quarantine, Atlanta GA","","","GeMo2342532025E","968"
"6-4-1998","","G.E. Morse","","","7262850","2323802"
"8/4/2000","","G.E. Morse","","","Loc.1933L","Loc.1933L"
"6-9-1998","","G.E. Morse","","","2068","2068"
"1-5-1980","","C.D. Johnson","","","Loc.13234L","Loc.13234L"
"2-25-1973","","C.D. Johnson","","","Loc.3379L","Loc.3379L"
"3/11/2001","","G.E. Morse","","","2499","2499"
"3/15/2001","","G.E. Morse","","","2533","2533"
"7/31/2000","","G.E. Morse","","","Loc.1945L","Loc.1945L"
"12-25-1963","","D.H. Janzen","","","GeMo2410134864E","GeMo2410127853L"
"1-26-1964","","D.H. Janzen","","","Loc.5572L","Loc.5572L"
"03/23/2002","04-03-2002","A. Krakower","","","GeMo187926131E","GeMo187922343L"
"3/28/2011","","S. Gripenberg","","","7266394","2322"
"3/2/2000","","G.E. Morse","","","2341","2341"
"","","Woegan, A.Y. et al.","","","6381","6381"
"5-18-1981","5-21-1981","B. Malkin","","","1659","1659"
"6-25-1976","7-5-1976","Schubert","","","2675","2675"
"6/3/2022","","G.E. Morse, G. Eggemeyer, A. Huerta, V. Olson","","","GeMo226731038E","GeMo226726505L"
"7/27/2010","","G.E. Morse","","","7263528","2324575"
"6/14/2013","","G.E. Morse & J. McCarthy","Coastal Sage Scrub with Rhus integrafolia, Artemisia californica","","7264717","2325326"
"6-21-2013","","J. McCarthy","sandy trail slope","","7264763","2325362"
"5/28/2010","","G.E. Morse, M.J. Wojciechowski, & T.G. Piraneo","","","7263495","2324572"
"6/27/2020","","G.E. Morse & M. Moye","","","GeMo2062827643E","2324808"
"7/21/2019","","G.E. Morse & M. Krivit","","","GeMo1972326908E","GeMo1972323332L"
"7/21/2019","","G.E. Morse & M. Krivit","","","GeMo1972326907E","GeMo1972323331L"
"6-22-2014","","G.E. Morse","north-facing slope in sandy soil. ","","7265746","2325833"
"7/18/2011","","G.E. Morse","Granitic sand in pinyon and sagebrush","","7263865","2324830"
"7-1-1972","7-31-1972","Not published","","","GeMo1973126981E","GeMo1973123403L"
"1-9-1994","1-17-1994","Lopéz, E. and F. Meija","","","7261146","2322902"
"7-28-1999","8-3-1999","Dominici, G.","","","5261278","2324334"
"9-19-2015","","Elnaz Molaei","","","GeMo2110529713E","GeMo2110525535L"
"","","Naoshi Watanabe","","1997","GeMo254835443E","GeMo254828213L"
"12-31-2007","","B. Le Rü","","","7263685","2324703"
"6-12-2002","","Morse, G.E. and E.V. Freund","","","5261450","2324411"
"3/7/1979","","C.D. Johnson","","","Loc.11579L","Loc.11579L"
"1-4-1980","","C.D. Johnson","","","Loc.2713L","Loc.2713L"
"8/1/2000","","G.E. Morse","","","Loc.1926L","Loc.1926L"
"3/9/2001","","G.E. Morse","","","2481","2481"
"3/26/1963","2/8/1964","D.H. Janzen","","","GeMo2410134863E","Loc.10137L"
"3-7-1980","","C.D. Johnson","","","Loc.13761L","Loc.13761L"
"1-25-2016","","USDA Plant Quarantine, Atlanta GA","","","GeMo23101134239E","5952"
"","","Steven","","","1030","1030"
"5-29-2010","","G.E. Morse, M.J. Wojciechowski, & T.G. Piraneo","","","7263502","2324578"
"7/18/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","","","7268323","2327372"
"7/10/2020","","G.E. Morse","","","GeMo2071227646E","GeMo2071223868L"
"7/27/2010","","G.E. Morse","In Yucca brevifolia community w/several shrubby composites, Cylindropuntia, on gentle NW-facing sloper in fine brown soils just adjacent to roadside","","7263524","2324572"
"6-21-2013","","J. McCarthy","","","7264762","2325361"
"7/17/2011","","G.E. Morse","Pinyon-Juniper Woodland","","7263857","2324823"
"6-14-2015","","G.E. Morse","sandy, barren soil","","7266573","2326245"
"","","H.F. Wickham","","","GeMo18102326652E","GeMo18102323145L"
"5/21/1980","","Not on label","","","GeMo1871326206E","GeMo1871322392L"
"3-13-1999","","G.E. Morse","","","2231","2231"
"10/8/1994","","M.A. & L.L. Ivie","","","GeMo187926089E","GeMo187922313L"
"4-1-1993","5-31-1993","P. Hanson","","","GeMo228431129E","Loc.4333L"
"8-21-1988","","Ivie, M.A., T.K. Philips, and K.A. Johnson","secondary cassia and acacia","","5261279","2324335"
"7-1-2002","7-31-2002","Delobel, A.","","","7260830","2322715"
"8-28-2013","","USDA Plant Quarantine, S.F. CA","","","GeMo2361332426E","968"
"3-9-1936","","Intercepted in quarantine","","","7262747","927"
"6-26-1917","","J.R. Horton","","","GeMo2410134845E","Loc.8483L"
"2-3-2012","","USDA Plant Quarantine, Otay Mesa CA","","","GeMo2371832706E","Loc.8483L"
"7-30-1945","","Intercepted in Nogales, AZ","","","Loc.7276L","Loc.7276L"
"3-6-1979","","C.D. Johnson","","","Loc.12363L","Loc.12363L"
"3/14/2001","","G.E. Morse","","","2522","2522"
"3/14/2001","","G.E. Morse","","","2517","2517"
"6-18-1998","","G.E. Morse","","","2005","2005"
"1-6-1980","","C.D. Johnson","","","Loc.6249L","Loc.6249L"
"3/16/2001","","G.E. Morse","","","2535","2535"
"7/28/2000","","G.E. Morse & J. Romero N.","","","Loc.1934L","Loc.1934L"
"","","Not published","","","GeMo21111629911E","1681"
"4-24-2008","","J.A. Sáez Bolaño","","","7266027","2325165"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"5/18/2011","","O. Gavira Romero","","","E_YRBSEA49_12","YRBSEA49_7"
"8/29/1953","","","","","Loc.17013L","Loc.17013L"
"9-16-2004","","G.E. Morse","Just above high tide mark at oceanside","","7260818","2322707"
"7/18/2017","","G.E. Morse, M. Tenuta, D. Sheridan, K. Peck","","","7268318","2327367"
"7/17/2011","","G.E. Morse","Pinyon-Juniper Woodland","","7263859","2324824"
"7/22/2019","","G.E. Morse & M. Krivit","Sandy to gravelly uplands dominated by shortgrass prairie, scattered springs and spring runs on slopes, and small ponds in draws.x`","","GeMo1972426923E","GeMo1972423347L"
"7/13/2015","","G.E. Morse","shortgrass prairie rangeland","","7266596","2326268"
"10-5-2014","10-21-2014","","","","GeMo22112231493E","GeMo22112226884L"
"3-7-1999","","G.E. Morse","","","7262813","2323767"
"3-9-1999","","G.E. Morse","","","2213","2213"
"3-15-1999","","G.E. Morse","","","2251","2251"
"1-16-1985","","C.D. Johnson","","","Loc.11399L","Loc.11399L"
"3/1/1998","","G.E. Morse","","","133","133"
"2/28/1998","","G.E. Morse","","","157","157"
"","","Smith, H.H.","","Nov.","6168","6168"
"3/24/2000","","G.E. Morse","","","2420","2420"
"3/23/2000","","G.E. Morse","","","2397","2397"
"2-1-1992","2-29-1992","III curso Parataxon","","","7261068","2322881"
"03-29-1935","","F. Nevermann","","","GeMo2491334820E","GeMo2491327837L"
"7-1-2004","7-31-2004","Not published","","","7263180","2324044"
"3-29-1979","","C.D. Johnson","","","Loc.12807L","Loc.12807L"
"3-7-1973","","C.D. Johnson","","","Loc.15904L","Loc.15904L"
"5/2/2002","","Martínez, M. and M. Juárez","","","5261249","2324305"
"6-9-1998","","G.E. Morse","","","2062","2062"
"2-25-1973","","C.D. Johnson","","","Loc.11597L","Loc.11597L"
"12-26-1976","","C.D. Johnson","","","Loc.2721L","Loc.2721L"
"3/11/2001","","G.E. Morse","","","2504","2504"
"12-21-2011","","USDA Plant Quarantine, Atlanta GA","","","GeMo239733198E","GeMo232227049L"
"3/4/2000","","G.E. Morse","","","2350","2350"
"4-16-2007","","Plant Quarantine, Mayaguez Puerto Rico","","","GeMo2342532026E","GeMo2342427112L"
"6/10/2011","","O. Gavira Romero","","","E_YRBSEA49_27","YRBSEA49_9"
"6/10/2011","","O. Gavira Romero","","","E_YRBSEA49_27","YRBSEA49_9"
"6/10/2011","","O. Gavira Romero","","","E_YRBSEA49_27","YRBSEA49_9"
