"Venezuela","Anzoateguí","","Barcelona","","","","","","","Loc.2142L"
"Venezuela","Anzoateguí","","Aragua de Barcelona, 14 km W","61 ","","","","","","Loc.2144L"
"Venezuela","Anzoateguí","","San Mateo, 22 km N","67 ","","","","","","Loc.2145L"
"Venezuela","Carabobo","","Puerto Cabello","","","","","","","Loc.2146L"
"Venezuela","Guarico","","San Juan de los Morros, 13 km SE","","","","","","","Loc.2147L"
"Venezuela","Guarico","","El Sombrero, 34 km E","183 ","","","","","","Loc.2148L"
"Venezuela","Portuguesa","","Turén","122 ","","","","","","Loc.2149L"
"Colombia","Valle del Cauca","","Arbelaez","1540 ","","","","","","Loc.2150L"
"Colombia","Valle del Cauca","","Union-Retiro","1100 ","","","","","","Loc.2154L"
"Costa Rica","Guanacaste","","Parque Nacional Santa Rosa","","","","","","","Loc.2155L"
"Honduras","Corte","","San Pedro Sula, 11 km S","","","","","","","Loc.2156L"
"Mexico","Morelos","","Zacatepec","","","","","","","Loc.2159L"
"Mexico","Quintana Roo","","Coba-Tulum carreterra, 21 km","","","","","","","Loc.2161L"
"Mexico","Veracruz","","Cerro Gordo","","","","","","","Loc.2162L"
"Mexico","Veracruz","","Veracruz, 3 mi S","9 ","","","","","","Loc.2163L"
"Mexico","Veracruz","","Veracruz, 45 km SE","","","","","","","Loc.2164L"
"Venezuela","Miranda","","Colonia Mendoza","","","","","","","Loc.2165L"
"Brazil","Minas Gerais","","Larras","","","","","","","Loc.2166L"
"Colombia","Cundinamarca","","Manta","1700 ","","","","","","Loc.2167L"
"Costa Rica","Puntarenas","","Esparta, above","","","","","","","Loc.2168L"
"Ecuador","Guayas","","Guayaquil, Golf Club","","","","","","","Loc.2169L"
"Panama","Panamá","","Summit Gardens, 1 km S","","","","","","","Loc.2171L"
"Venezuela","Monagas","","San Antonio de Maturín, 7 km SE","","","","","","","Loc.2174L"
"USA","Massachusetts","","Sagamore  Bch.","","","","","","","Loc.2176L"
"USA","Massachusetts","","Sagamore  Bch.","","","","","","","Loc.2178L"
"USA","Massachusetts","","Hyannis (Cape Cod)","","","","","","","Loc.2179L"
"Mexico","Guanajuato","","Guanajuato","","","","","","","Loc.2227L"
"Mexico","Sinaloa","","Rosario, 12 mi W","","","","","","","Loc.2237L"
"Mexico","Veracruz","","Córdoba, 1 mi. E ","","","","","","","Loc.2255L"
"Mexico","Yucatán","","Valladolid, 83 km W","","20.767","-88.96","","","","Loc.2261L"
"Brazil","Rio Grande do Norte","","Papari","","","","","","","Loc.2269L"
"Venezuela","Cojedes","","Macapo","","","","","","","Loc.2294L"
"Colombia","Magdalena","","Santa Marta","","","","","","","Loc.2303L"
"Mexico","Michoacan","","Ciudad Hidalgo, 3 mi SE","2040 ","","","","","","Loc.2307L"
"Mexico","Morelos","","Tepoztlán","","","","","","","Loc.2309L"
"Mexico","Oaxaca","","Oaxaca","1524 ","","","","","","Loc.2333L"
"Mexico","Veracruz","","Acayucán, 14 km E","","","","","","","Loc.2348L"
"Venezuela","Aragua","","Aragua, 14 km W","61 ","","","","","","Loc.2355L"
"Mexico","Veracruz","","Cerro Gordo","","","","","","","Loc.2381L"
"Panama","Panamá","","Cañita, 3 km E","","","","","","","Loc.2395L"
"Panama","Panamá","","Summit Gardens","","","","","","","Loc.2397L"
"Argentina","Distrito Federal","","Buenos Aires","","-34.62","-58.4","","","","Loc.2404L"
"Mexico","Mexico","","Atlacomulco","2591 ","","","","","","Loc.2405L"
"Mexico","Durango","","Rodeo, 56 mi N","","","","","","","Loc.2408L"
"USA","Arizona","Coconino","Flagstaff","","","","","","","Loc.2410L"
"USA","Arizona","Yavapai","Camp Verde, 9 mi. N","","","","","","","Loc.2416L"
"USA","California","Fresno","Kerman, 5 mi W","","36.7","-120.15","","","","Loc.2418L"
"USA","California","Fresno","Kerman, 5 mi W","","","","","","","Loc.2419L"
"USA","California","Madera","Madera, 17 mi SW","","","","","","","Loc.2420L"
"USA","California","Fresno","Coalinga","","36.133333333","-120.35","","","","Loc.2422L"
